Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (=), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228508,284,BinHex1,BinHex 1 for Macintosh,armor,,,,,,,,,,,,
2228509,285,BinHex2,BinHex 2,armor,,.hcx,,,,,,,,,,
2228510,286,BinHex5,BinHex 5,armor,,,,,,,,,,,,
2228511,287,MacBinary,MacBinary,armor,,".bin, .macbin","application/macbinary, application/x-macbinary",,,,,,,,,
2228512,288,Shar,Shell archive,container,,.shar,,,,,,,,,,
2228513,289,Cpio,CPIO archive,container,,.cpio,,,,,,,,,,
2228514,290,Pax,PAX archive,container,,.pax,,,,,,,,,,
2228515,291,TarGz,,container,Tar & Gzip,".tar.gz, .tgz",,,,,,,,,,
2228516,292,TarZ,,container,Tar & CompressLzw,".tar.Z, .taz",,,,,,,,,,
2228517,293,TarBz2,,container,Tar & Bzip2,".tar.bz2, .tbz2",,,,,,,,,,
2228518,294,OutlookMsg,Microsoft Outlook Email,document,,.msg,application/vnd.ms-outlook,,,,,,,,,
2228519,295,PercentEncoding,Percent encoding (URL encoding),armor,,,,,,,,,,,,
2228520,296,NumericCharacterReferenceDec,Numeric Character Reference (decimal),armor,,,,,,,,,,,,
2228521,297,NumericCharacterReferenceHex,Numeric Character Reference (hexadecimal),armor,,,,,,,,,,,,
2228522,298,MimeBase64,"Base64 with separators, line length 76",armor,,,,,,,,,,,,
2228523,299,Xxencode,xxencoding,armor,,".xxe, .xx",,,,,,,,,,
2228524,300,Rzip,rzip,compression,,,,,,,,,,,,
2228525,301,Lrzip,lrzip (Long Range Zip),compression,,,,,,,,,,,,
2228526,302,Bzip3,Bzip3,compression,,,,,,,,,,,,
2228527,303,Lz4,LZ4,compression,,.lz4,,,,lz4,,,,,,
2228528,304,Lzo,LZO (Lempel-Ziv-Oberhumer),compression,,.lzo,,,,lzo,,,,,,
2228529,305,Zpaq,ZPAQ,container,,,,,,,,,,,,
2228530,306,Orz,orz (optimized reduced offset Lempel-Ziv),compression,,,,,,,,,,,,
2228531,307,Lzfse,LZFSE (Lempel–Ziv Finite State Entropy),compression,,,,,,,,,,,,
2228532,308,Hexdump,Family of formats of binary data represented as hexadecimal,armor,HexByteString,,,,,,,,,,,
2228533,309,Pkcs8PrivateKey,PKCS#8 Private Key (RFC 5958 sec. 7.1) (Public Key Cryptography Standard 8),database,,".p8, .key",application/pkcs8,,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
2228534,310,Pkcs10Csr,PKCS#10 Certificate Signing Request (RFC 5967 sec. 3.1) (Public Key Cryptography Standard 10),database,,".p10, .csr",application/pkcs10,,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
2228535,311,PkixCert,X.509 Certificate (RFC 2585 sec. 4.1; RFC 5280 sec. 4),database,,".cer, .crt","application/pkix-cert, application/x-x509-ca-cert, application/x-x509-user-cert, application/x-x509-email-cert",,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst https://nss-crypto.org/reference/_sources/security/nss/legacy/certificate_download_specification/index.rst.txt
2228536,312,PkixCrl,X.509 CRL (RFC 2585 sec. 4.2; RFC 5280 sec. 5),database,,.crl,"application/pkix-crl, application/x-pkcs7-crl",,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
2228537,313,Pkcs7Mime,PKCS#7 Certificate Bundle (RFC 5273 p. 3; RFC 2315 sec. 9.1) (Public Key Cryptography Standard 7),database,,".p7c, .p7b, .spc, .p7r","application/pkcs7-mime, application/x-pkcs7-certificates, application/x-pkcs7-certreqresp",,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
2228538,314,Pkcs12,PKCS#12 Key and Certificate Bundle (Public Key Cryptography Standard 12),database,,".p12, .pfx",application/x-pkcs12,com.rsa.pkcs-12,,,,,,,,https://raw.githubusercontent.com/mrwiora/pki-tutorial/cd50703b733f3864a720602928fd0e0671ab3ddb/docs/mime.rst
2228539,315,AppleSingle,AppleSingle,document,,.as,application/applefile,,,,,,,,,https://raw.githubusercontent.com/fadden/CiderPress2/7a055a200e31f752f3a92bb9fe6ae6f67cd55534/DiskArc/Arc/AppleSingle-notes.md
2228540,316,AppleDouble,AppleDouble (RFC 1740),document,,"~^\._~, ~/\.AppleDouble/~, ~/__MACOSX/~, .ADF, ~^%~, ~^R\.~, .rsrc",multipart/appledouble,,,,,,,,,https://raw.githubusercontent.com/fadden/CiderPress2/7a055a200e31f752f3a92bb9fe6ae6f67cd55534/DiskArc/Arc/AppleSingle-notes.md
2228541,317,CtbNode,Collective Toolbox serialized node package,document,,.ctbn,,,,,,,,,,
2228542,318,CtbNodeV1,"Collective Toolbox serialized node package, version 1",document,CtbNode,.ctbn,,,,,,,,,,
2228543,319,CtbNodeV2,"Collective Toolbox serialized node package, version 2",document,CtbNode,.ctbn,,,,,,,,,,
2228544,320,Lzma,LZMA (Lempel–Ziv–Markov chain algorithm),compression,,.lzma,,,,lzma,,,,,,
2228545,321,Lzma2,LZMA container format,compression,Lzma,".lzma, .lzma2",,,,lzma2,,,,,,
2228546,322,TarLzo,"TAR, LZO",container,Tar & Lzo,".tar.lzo, .tzo",,,,,,,,,,
2228547,323,AlturaMacToWin,Convert MacRoman characters to Windows-1252 characters in the way Altura Mac2Win does (replacing some characters with visually different ones),transformation,,,,,,,,,,,,
2228548,324,AlturaWinToMac,Convert Windows-1252 characters to MacRoman characters in the reverse of the way Altura Mac2Win does (replacing some characters with visually different ones),transformation,,,,,,,,,,,,
2228549,325,Win1252,"Windows-1252 (""ANSI"")",encoding,,,,,,ansi,,,,,,
2228550,326,AlphaSmartNeo,AlphaSmart Neo encoding (has several variants),encoding,,,,,,,,,,,,
2228551,327,AlphaSmartNeoLowGrUs,"AlphaSmart Neo, graphical low bytes, USA",encoding,AlphaSmartNeo,,,,,,,,,,,
2228552,328,AlphaSmartNeoLowGrUaMac,"AlphaSmart Neo, graphical low bytes, Ukraine (Mac)",encoding,AlphaSmartNeo,,,,,,,,,,,
2228553,329,AlphaSmartNeoLowGrUaPc,"AlphaSmart Neo, graphical low bytes, Ukraine (PC)",encoding,AlphaSmartNeo,,,,,,,,,,,
2228554,330,AlphaSmartNeoLowCtlUs,"AlphaSmart Neo, control low bytes, USA",encoding,AlphaSmartNeo,,,,,,,,,,,
2228555,331,AlphaSmartNeoLowCtlUaMac,"AlphaSmart Neo, control low bytes, Ukraine (Mac)",encoding,AlphaSmartNeo,,,,,,,,,,,
2228556,332,AlphaSmartNeoLowCtlUaPc,"AlphaSmart Neo, control low bytes, Ukraine (PC)",encoding,AlphaSmartNeo,,,,,,,,,,,
2228557,333,AlphaWord,AlphaSmart AlphaWord file format,document,,,,,,,,,,,,
2228558,334,CtbAssetBundleV1,"Collective Toolbox resource bundle, version 1",container,CtbAssetBundle,.rsrc,,,,,,,,,,
2228559,335,CtbAssetBundleV2,"Collective Toolbox resource bundle, version 2",container,CtbAssetBundle,.rsrc,,,,,,,,,,
2228560,336,CtbAssetBundleV3,"Collective Toolbox resource bundle, version 3",container,CtbAssetBundle,.rsrc,,,,,,,,,,
2228561,337,CtbAssetBundleV4,"Collective Toolbox resource bundle, version 4",container,CtbAssetBundle,.rsrc,,,,,,,,,,
2228562,338,Jq,jq programming language,programming,,,,,,,,,,,,
2228563,339,JqJaq,jq programming language as implemented by jaq,programming,Jq,,,,,,,,,,,
2228564,340,Dcal,Dc ASCII List,document,,.dcal,,,,,2,3,1,,"ASCII text containing list of integers representing new Dcs. Strictly, one space after every int, and no newlines. Loosely, with newlines or multiple spaces, or no end space.",
2228565,341,HexdumpXxd,xxd-style hexdump (as output by default xxd settings),armor,HexByteString,,,,,,,,,,,
2228566,342,StageL2,StageL 2,programming,StageL,.sl,,,,,,,,,,
2228567,343,StageL2Intermediate,Normalized StageL 2,programming,StageL2,.sli,,,,,,,,,,
2228568,344,Csdl,Comma-separated Dc list,document,,,,,,,,,,,"ASCII text containing list of integers representing new Dcs, separated by commas, with no newlines. Loosely, with optional newlines, or spaces after commas. A parser could reasonably delegate to handling it as DcAsciiList if there are Dcs separated only by spaces, though a file mixing commas and spaces without commas should be rejected.",
2228569,345,Rational,Rational number,number_abstract,AbstractNumber,,,,,,,,,,,
2228570,346,Real,Real number,number_abstract,AbstractNumber,,,,,,,,,,,
2228571,347,Complex,Complex number,number_abstract,AbstractNumber,,,,,,,,,,,
2228572,348,FloatIeee754,IEEE 754 floating-point number formats,number,Float,,,,,,,,,,,
2228573,349,NumeralSystem,Format for representing numbers,number,,,,,,,,,,,,
2228574,350,BaseNNumeral,Representation of a number in a given base,number,:~ [format:f354] [format:base_alphabet],,,,,,,,,,,
2228575,351,Natural1,"Natural number, not including zero",number_abstract,AbstractNumber & Integer,,,,,,,,,,,
2228576,352,DcIdentifier,Dc identifier (new),identifier,"DcIdentifier, =[Natural1 & <(2^128)]",,,,,,,,,,,
2228577,353,DcShortIdentifier,Dc identifier (short),identifier,"DcIdentifier, =[Natural1 & <(2^128)]",,,,,,,,,,,
2228578,354,Base,A radix in a number system,number,:~ [number:f351],,,,,,,,,,,
2228579,355,AbstractNumber,"Any number, but not in a specific representation",number_abstract,,,,,,,,,,,,
2228580,356,BaseNNumber,"Representation of a number in a given base, agnostic to alphabet",number_abstract,:~ [format:f354],,,,,,,,,,,
2228581,357,DcNumber,"A number represented using Dcs, a sequence of Dcs between Dcs 6 and 7",number,,,,,,,,,,,,
2228582,358,DcNumberB64Int,A DcNumber representing an integer expressed in base 64,number,DcNumber,,,,,,,,,,"A DcNumber representing an integer expressed in base 64 using the encapsulation Dcs, not byte-oriented, with optional sign flag (Dc 10 or 11) at start
",
2228583,359,BaseAlphabet,A set of characters used in a positional number system,base_alphabet,,,,,,,,,,,,
2228584,360,AlphabetBase64Rfc4648,Standard Base 64 alphabet from RFC 4648. Case-sensitive.,base_alphabet,,,,,,,,,,,,
2228585,361,AlphabetBase36,Base alphabet with 36 characters; standard Arabic digits + Latin letters: 0-9 (A-Z|a-z),base_alphabet,,,,,,,,,,,,
2228586,362,AlphabetBase36Uppercase,"Base alphabet with 36 characters, uppercase: 0-9 A-Z",base_alphabet,AlphabetBase36,,,,,,,,,,,
2228587,363,AlphabetBase36Lowercase,"Base alphabet with 36 characters, lowercase: 0-9 a-z",base_alphabet,AlphabetBase36,,,,,,,,,,,
2228588,364,ArithmeticExpression,Arithmetic expression,math,MathExpression,,,,,,,,,,"e.g. ""(23 mod 2) + 6"", ""sin(pi/4)""",
2228589,365,SymbolicExpression,Math expression with variables,math,MathExpression,,,,,,,,,,"e.g. ""1 + 2x"", ""x^2 - 4x + 4""",
2228590,366,MathRelation,,math,,,,,,,,,,,,
2228591,367,Equation,Predicate asserting equality,math,MathRelation,,,,,,,,,,"e.g. ""2x = 6"", ""E = mc^2"", ""1 lb = 16 oz""",
2228592,368,Inequality,Predicate asserting ordering,math,MathRelation,,,,,,,,,,"e.g. ""x^2 + y^2 <= 1"", ""1 ≠ 2""",
2228593,369,Approximation,Predicate asserting approximate equality,math,MathRelation,,,,,,,,,,"e.g. ""1 oz ~= 28 g""",
2228594,370,EquationSystem,"A system of equations, inequalities, and/or approximations",math,,,,,,,,,,,"e.g. ""1 lb = 16 oz; 1 oz ~= 28 g; solve for x""",
2228595,371,UnaryNumeral,A number with radix 1,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'1']",,,,,,,,,,,
2228596,372,BinaryNumeral,A number with radix 2,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'2']",,,,,,,,,,,
2228597,373,OctalNumeral,A number with radix 8,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'8']",,,,,,,,,,,
2228598,374,DecimalNumeral,A number with radix 10,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'10']",,,,,,,,,,,
2228599,375,HexadecimalNumeral,A number with radix 16,number,":~ [format:base_alphabet], <equiv>f350 f354 [number:'16']",,,,,,,,,,,
2228600,376,AlphabetArabicIndicNumeral,Arabic-Indic numerals (٠-٩),base_alphabet,,,,,,,,,,,,
2228601,377,AlphabetDevanagariNumeral,Devanagari numerals (०-९),base_alphabet,,,,,,,,,,,,
2228602,378,RomanNumeral,Roman numeral system,numeral_system,,,,,,,,,,,,
2228603,379,TallyNumeral,Additive tally marks,numeral_system,,,,,,,,,,,,
2228604,380,ChineseNumeral,Chinese numeral systems,numeral_system,,,,,,,,,,,,
2228605,381,ChineseNumeralSmall,Chinese numerals. Varies depending on simplified versus traditional characters,numeral_system,ChineseNumeral,,,,,,,,,,,
2228606,382,ChineseNumeralBig,Chinese numerals for finance. Varies depending on simplified versus traditional characters,numeral_system,ChineseNumeral,,,,,,,,,,,
2228607,383,SuzhouNumeral,Suzhou numeral system,numeral_system,,,,,,,,,,,,
